,sku_file_price,Stock Qty,special_price,act_post,nsw_m_post,nsw_r_post,nt_m_post,nt_r_post,qld_m_post,qld_r_post,remote_post,sa_m_post,sa_r_post,tas_m_post,tas_r_post,vic_m_post,vic_r_post,wa_m_post,wa_r_post,Original_SKU
3882,219.20,0.0,-1.0,32.0,32.0,41.0,203.0,194.0,44.0,66.0,113.0,33.0,76.0,32.0,48.0,14.0,55.0,70.0,253.0,FURNI-L-LED-BF05-WH-ABC
3883,22.90,200.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SB-MICRO-GR
3884,140.90,0.0,-1.0,21.0,21.0,27.0,131.0,125.0,28.0,43.0,74.0,22.0,49.0,21.0,31.0,9.0,36.0,45.0,164.0,FURNI-O-LED-TV160-WH-AB
3885,147.90,0.0,-1.0,21.0,21.0,27.0,131.0,125.0,28.0,43.0,74.0,22.0,49.0,21.0,31.0,9.0,36.0,45.0,164.0,FURNI-O-LED-TV160-BK-AB
3886,200.10,0.0,-1.0,23.0,23.0,30.0,146.0,140.0,32.0,48.0,82.0,24.0,55.0,23.0,35.0,10.0,40.0,50.0,183.0,FURNI-O-LED-TV180-WH-AB
3887,200.10,0.0,-1.0,23.0,23.0,30.0,146.0,140.0,32.0,48.0,82.0,24.0,55.0,23.0,35.0,10.0,40.0,50.0,183.0,FURNI-O-LED-TV180-BK-AB
3888,111.30,200.0,100.2,12.0,0.0,18.0,36.0,44.0,0.0,20.0,33.0,0.0,25.0,0.0,18.0,0.0,13.0,0.0,41.0,FURNI-E-RAT-SID90-WD
3889,92.20,200.0,78.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FF-BEACH-UF-CH-WH
3890,127.80,200.0,121.4,8.0,0.0,12.0,23.0,28.0,0.0,12.0,21.0,0.0,16.0,0.0,11.0,0.0,8.0,0.0,26.0,FF-BEACH-UF-CHTB-WH
3891,267.00,200.0,227.0,16.0,0.0,18.0,51.0,40.0,0.0,24.0,38.0,0.0,30.0,0.0,26.0,0.0,16.0,0.0,54.0,FF-BEACH-UF-5SET-AB
3892,74.80,200.0,67.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FF-BEACH-UF-CH-NW
3893,80.00,200.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FF-BEACH-UF-CH-BR
3894,118.30,200.0,100.6,8.0,0.0,12.0,23.0,28.0,0.0,12.0,21.0,0.0,16.0,0.0,11.0,0.0,8.0,0.0,26.0,FF-BEACH-UF-CHTB-BR
3895,192.20,200.0,182.6,12.0,0.0,14.0,38.0,30.0,0.0,18.0,29.0,0.0,22.0,0.0,20.0,0.0,12.0,0.0,40.0,FF-BEACH-UF-CH-BR-3PC
3896,180.90,200.0,153.8,12.0,0.0,14.0,39.0,31.0,0.0,19.0,29.0,0.0,23.0,0.0,20.0,0.0,12.0,0.0,41.0,FF-BEACH-UF-CH-NW-3PC
3897,216.60,200.0,184.1,14.0,0.0,16.0,44.0,35.0,0.0,21.0,33.0,0.0,26.0,0.0,23.0,0.0,14.0,0.0,46.0,FF-BEACH-UF-CH-WH-3PC
3898,113.10,0.0,-1.0,8.0,0.0,12.0,23.0,28.0,0.0,12.0,21.0,0.0,16.0,0.0,11.0,0.0,8.0,0.0,26.0,FF-BEACH-UF-CHTB-NW
3899,99.10,0.0,-1.0,9.0,0.0,12.0,19.0,23.0,0.0,15.0,24.0,0.0,19.0,0.0,13.0,0.0,9.0,0.0,22.0,TENT-C-CR-FAST-DOU
3900,79.20,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SB-C01-50L-SS
3901,110.00,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SB-C01-60L-SS
3902,73.00,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SB-C01-70L-SS
3903,111.30,200.0,100.2,11.0,0.0,17.0,33.0,40.0,0.0,18.0,30.0,0.0,23.0,0.0,17.0,0.0,12.0,0.0,38.0,FURNI-O-LED-BS-03-BK
3904,122.60,4.0,110.3,11.0,0.0,17.0,33.0,40.0,0.0,18.0,30.0,0.0,23.0,0.0,17.0,0.0,12.0,0.0,38.0,FURNI-O-LED-BS-03-WH
3905,168.70,79.0,-1.0,12.0,0.0,18.0,36.0,44.0,0.0,20.0,32.0,0.0,25.0,0.0,18.0,0.0,12.0,0.0,41.0,OCHAIR-G-R4757-FT-BK-BU
3906,144.40,5.0,-1.0,12.0,0.0,18.0,36.0,44.0,0.0,20.0,32.0,0.0,25.0,0.0,18.0,0.0,12.0,0.0,41.0,OCHAIR-G-R4757-FT-BK-GN
3907,34.80,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MDETECTOR-C-GC2006
